Type;MP;Beta
hat;0.05;8,95397873871195e-01
hat;0.05;1,35077893124662e+00
hat;0.05;9,98675387329751e-01
hat;0.05;9,32512281551486e-01
hat;0.05;4,70999305568805e-01
hat;0.05;7,84145742665677e-01
hat;0.05;8,90011755166163e-01
hat;0.05;9,13534514329797e-01
hat;0.05;1,07488454332967e+00
hat;0.05;9,19321971197188e-01
hat;0.05;8,48403123563248e-01
hat;0.05;6,65485023702923e-01
hat;0.05;5,09545355110272e-01
hat;0.05;8,60977880920966e-01
hat;0.05;8,95663714349451e-01
hat;0.05;3,97366798695135e-01
hat;0.05;6,61438509347176e-01
hat;0.05;1,09876986383145e+00
hat;0.05;7,38249081412989e-01
hat;0.05;5,76828096493083e-01
hat;0.05;6,46231115098602e-01
hat;0.05;9,89613778464278e-01
hat;0.05;1,25322532302270e+00
hat;0.05;9,87663122960083e-01
hat;0.05;9,78936635710182e-01
hat;0.05;6,55243412255442e-01
hat;0.05;6,99621301880739e-01
hat;0.05;7,72457705170823e-01
hat;0.05;5,70076153041931e-01
hat;0.05;7,83209691222371e-01
hat;0.05;8,24491185498272e-01
hat;0.05;7,28683494305449e-01
hat;0.05;1,36218114534627e+00
hat;0.05;6,72882766976424e-01
hat;0.05;9,76786577899055e-01
hat;0.05;1,21325967934841e+00
hat;0.05;1,11280618886817e+00
hat;0.05;7,38541594156965e-01
hat;0.05;9,32786926698595e-01
hat;0.05;7,66611245524536e-01
hat;0.05;7,53820541564969e-01
hat;0.05;2,46479027639727e-01
hat;0.05;1,17307659580691e+00
hat;0.05;1,07300672551671e+00
hat;0.05;8,20381268043591e-01
hat;0.05;5,75741208495174e-01
hat;0.05;8,97180426669177e-01
hat;0.05;8,68290996681565e-01
hat;0.05;1,04480400432177e+00
hat;0.05;1,14608056734906e+00
hat;0.05;1,11159609996036e+00
hat;0.05;9,07748013462588e-01
hat;0.05;8,88581709823457e-01
hat;0.05;9,62553441345978e-01
hat;0.05;1,07918042924648e+00
hat;0.05;9,63069018422050e-01
hat;0.05;5,63372032579504e-01
hat;0.05;6,46821644782975e-01
hat;0.05;5,95137798784411e-01
hat;0.05;9,93673906291847e-01
hat;0.05;8,13830254895619e-01
hat;0.05;8,28296162505913e-01
hat;0.05;8,57152451104152e-01
hat;0.05;1,10965910902319e+00
hat;0.05;1,00029043216938e+00
hat;0.05;9,57889677478082e-01
hat;0.05;9,94630967447642e-01
hat;0.05;1,36246487520488e+00
hat;0.05;6,97934435985850e-01
hat;0.05;8,27143500369651e-01
hat;0.05;7,39668343485443e-01
hat;0.05;6,92289983689867e-01
hat;0.05;6,87906858784764e-01
hat;0.05;9,31497671060558e-01
hat;0.05;7,51713199669552e-01
hat;0.05;7,93345348048094e-01
hat;0.05;9,12647155066346e-01
hat;0.05;4,10207557380003e-01
hat;0.05;6,97877048694038e-01
hat;0.05;1,03029379841666e+00
hat;0.05;6,01172211321728e-01
hat;0.05;7,72375750099880e-01
hat;0.05;7,57537469532277e-01
hat;0.05;1,09349691965693e+00
hat;0.05;9,60172034201271e-01
hat;0.05;7,17160639422909e-01
hat;0.05;3,94881009486711e-01
hat;0.05;8,69265854104679e-01
hat;0.05;9,66960514292489e-01
hat;0.05;7,40712212464592e-01
hat;0.05;9,44479524157667e-01
hat;0.05;1,08225719344454e+00
hat;0.05;9,50752797748827e-01
hat;0.05;8,58854887077353e-01
