Type;MP;Beta
hat;0.15;7,70945272980976e-01
hat;0.15;3,01729531133232e-01
hat;0.15;6,36254202349899e-01
hat;0.15;1,09497877710092e+00
hat;0.15;5,76098678873817e-01
hat;0.15;4,98433094135810e-01
hat;0.15;5,26275983418224e-01
hat;0.15;3,82567503546000e-01
hat;0.15;8,44619174969726e-01
hat;0.15;7,83323203571409e-01
hat;0.15;8,52961750240252e-01
hat;0.15;5,08285445287897e-01
hat;0.15;8,77941233300754e-01
hat;0.15;7,96957477414646e-01
hat;0.15;6,09381142915793e-01
hat;0.15;4,46465489061293e-01
hat;0.15;6,17522282890565e-01
hat;0.15;7,52897753731182e-01
hat;0.15;7,05034183924650e-01
hat;0.15;7,04030569947845e-01
hat;0.15;7,07434415552137e-01
hat;0.15;7,66558522141038e-01
hat;0.15;3,87778879879146e-01
hat;0.15;8,19594219385945e-01
hat;0.15;6,85004261277255e-01
hat;0.15;4,04444482258894e-01
hat;0.15;9,05060609910471e-01
hat;0.15;7,41207698351199e-01
hat;0.15;8,58633846315064e-01
hat;0.15;7,72179614749966e-01
hat;0.15;4,10223887929673e-01
hat;0.15;7,87247949912869e-01
hat;0.15;2,79620696181005e-01
hat;0.15;2,70334711727953e-01
hat;0.15;4,76677861257560e-01
hat;0.15;7,13225353425243e-01
hat;0.15;4,94733418522046e-01
hat;0.15;1,74803525262145e-01
hat;0.15;6,70829701253708e-01
hat;0.15;7,74240477155938e-01
hat;0.15;3,47859388255188e-01
hat;0.15;2,57503585907538e-01
hat;0.15;7,01650025444337e-01
hat;0.15;4,54919138614306e-01
hat;0.15;7,56722645010806e-01
hat;0.15;7,22931281642809e-01
hat;0.15;9,22890183932206e-01
hat;0.15;5,45142132201682e-01
hat;0.15;6,33153910724950e-01
hat;0.15;4,73852901822654e-01
hat;0.15;5,19426371127336e-01
hat;0.15;8,30855740756105e-01
hat;0.15;6,38808640735640e-01
hat;0.15;2,14039406102656e-01
hat;0.15;5,75998507921387e-01
hat;0.15;5,04043717299507e-01
hat;0.15;2,91634342715325e-01
hat;0.15;7,20479021198875e-01
hat;0.15;6,91295051260384e-01
hat;0.15;6,18650920214948e-01
hat;0.15;4,38947043493915e-01
hat;0.15;3,85439406286032e-01
hat;0.15;5,90737288080616e-01
hat;0.15;6,25917871770865e-01
hat;0.15;6,34303328673539e-01
hat;0.15;2,48036280799004e-01
hat;0.15;7,02349761502466e-01
hat;0.15;4,33395395757510e-01
hat;0.15;5,70618500715825e-01
hat;0.15;8,55174437173200e-01
hat;0.15;6,27666164363887e-01
hat;0.15;5,04390514730447e-01
hat;0.15;9,32198642649124e-01
hat;0.15;4,96814980420348e-01
hat;0.15;4,70912023804714e-01
hat;0.15;5,22974106500490e-01
hat;0.15;4,56470670321390e-01
hat;0.15;6,23368389379734e-01
hat;0.15;6,38770752177797e-01
hat;0.15;5,22590745436091e-01
hat;0.15;7,70452886215697e-01
hat;0.15;3,79293648038494e-01
hat;0.15;7,59896460473837e-01
hat;0.15;7,15102506760784e-01
hat;0.15;5,29304999191144e-01
hat;0.15;5,50471245684363e-01
hat;0.15;6,57572934640677e-01
hat;0.15;5,30683822778120e-01
hat;0.15;5,13815593935128e-01
hat;0.15;5,98191209564465e-01
hat;0.15;4,77821402909771e-01
hat;0.15;8,89710289315602e-01
hat;0.15;5,88745688400964e-01
hat;0.15;4,63568216038131e-01
hat;0.15;5,15603331075871e-01
hat;0.15;5,73144424615543e-01
hat;0.15;6,16746827162445e-01
hat;0.15;6,39146756952896e-01
hat;0.15;5,81321954248450e-01
hat;0.15;5,06518460592152e-01
hat;0.15;6,01648082383438e-01
hat;0.15;5,39919353923985e-01
hat;0.15;5,38748678893337e-01
hat;0.15;1,00533612982317e+00
hat;0.15;1,30137291316925e-01
hat;0.15;1,11709074052318e-01
hat;0.15;7,96099762713665e-01
hat;0.15;3,90127865255395e-01
hat;0.15;6,53516626022752e-01
hat;0.15;2,44409320943933e-01
hat;0.15;2,24139809324092e-01
hat;0.15;5,76475685212021e-01
hat;0.15;9,95756392221414e-01
hat;0.15;2,62895474683567e-01
hat;0.15;5,94342348683900e-02
hat;0.15;5,80549604822537e-01
hat;0.15;2,50831649323193e-01
hat;0.15;7,92590739431751e-01
hat;0.15;4,80232862821409e-01
hat;0.15;3,48219533808816e-01
hat;0.15;8,79798835857577e-01
hat;0.15;6,30272531481436e-01
hat;0.15;2,78699905923200e-01
hat;0.15;3,77457812093141e-01
hat;0.15;4,67425109652136e-01
hat;0.15;9,79190969100494e-01
hat;0.15;1,99899434888494e-01
hat;0.15;1,73194702762039e-01
hat;0.15;7,93098452245845e-01
hat;0.15;3,19577425880609e-01
hat;0.15;4,38899646849833e-01
hat;0.15;5,47749558628233e-01
hat;0.15;7,13369941901405e-01
hat;0.15;7,05463136970685e-01
hat;0.15;8,53829692716789e-01
hat;0.15;9,87494511934488e-01
hat;0.15;8,83810080346054e-01
hat;0.15;8,60019186492798e-01
hat;0.15;4,30955972013637e-01
hat;0.15;8,42632140051228e-01
hat;0.15;4,35585617805605e-01
hat;0.15;1,00440965626364e+00
hat;0.15;2,08105576845701e-01
hat;0.15;8,66256445392016e-01
hat;0.15;5,67845519360075e-01
hat;0.15;5,57237844750621e-01
hat;0.15;5,04302163917076e-01
hat;0.15;6,28586182396875e-01
hat;0.15;3,46741499415449e-01
hat;0.15;4,89022319758893e-01
hat;0.15;6,72227486192111e-01
hat;0.15;5,78783877240638e-01
hat;0.15;9,11402188383631e-01
hat;0.15;4,11552092063463e-01
hat;0.15;-6,52186527987622e-03
hat;0.15;3,31392453766748e-01
hat;0.15;8,42331296989205e-01
hat;0.15;7,15958690659296e-01
hat;0.15;1,19067804373323e+00
hat;0.15;5,58884860282549e-01
hat;0.15;2,25080126530776e-01
hat;0.15;6,41981924174064e-01
hat;0.15;5,27150224481237e-01
hat;0.15;4,21019246069996e-01
hat;0.15;3,47136113858480e-01
hat;0.15;7,24194085643463e-01
hat;0.15;6,36308976117390e-01
hat;0.15;6,17239444436490e-01
hat;0.15;3,86117522542361e-01
hat;0.15;9,97111515556058e-01
hat;0.15;8,03510211547868e-01
hat;0.15;6,66133616153470e-01
hat;0.15;4,15201994293879e-01
hat;0.15;1,05430427516295e+00
hat;0.15;7,21586215511084e-01
hat;0.15;6,24045012723626e-01
hat;0.15;4,43953719775649e-01
hat;0.15;4,23932095167268e-01
hat;0.15;7,44339806560927e-01
hat;0.15;8,21345558468602e-01
hat;0.15;6,20120816295286e-01
hat;0.15;4,76137984561407e-01
hat;0.15;6,15926995011514e-01
hat;0.15;9,77703147531593e-01
hat;0.15;7,20068569352755e-01
hat;0.15;2,99963620407241e-01
hat;0.15;8,05611143450910e-01
hat;0.15;7,59338276096219e-01
hat;0.15;7,17239900204445e-01
hat;0.15;4,89755605253741e-01
hat;0.15;5,94890778695834e-01
hat;0.15;4,40224969820289e-01
hat;0.15;4,06250210083692e-01
hat;0.15;4,31762450094100e-01
hat;0.15;2,86484150315551e-01
hat;0.15;7,07713517317906e-01
hat;0.15;8,12697422779338e-01
hat;0.15;5,13651688370976e-01
hat;0.15;5,32368826403310e-01
hat;0.15;4,04273274758329e-01
hat;0.15;6,94119904778123e-01
hat;0.15;3,77018607439548e-01
hat;0.15;8,62451565398352e-01
hat;0.15;7,29208638416308e-01
hat;0.15;3,85946916475927e-01
hat;0.15;9,36159494450947e-01
hat;0.15;7,17519192954302e-01
hat;0.15;6,00463067634424e-01
hat;0.15;6,39550132083531e-01
hat;0.15;-1,33524136186615e-01
hat;0.15;4,02793647397844e-01
hat;0.15;3,25719816333844e-01
hat;0.15;4,63346404378030e-01
hat;0.15;6,70106781382744e-01
hat;0.15;5,78060615216974e-01
hat;0.15;6,71566824473199e-01
hat;0.15;7,79746970740689e-01
hat;0.15;3,18400056907853e-01
hat;0.15;1,01618404180001e+00
hat;0.15;8,74518986383097e-01
hat;0.15;4,90977174155181e-01
hat;0.15;2,89417332253251e-01
hat;0.15;3,72031070053130e-01
hat;0.15;5,89522173241512e-01
hat;0.15;9,86204949206415e-01
hat;0.15;7,40013597045857e-01
hat;0.15;2,23376468858800e-01
hat;0.15;5,72687801636572e-01
hat;0.15;6,31314611085707e-01
hat;0.15;6,04446684285428e-01
hat;0.15;5,43021785884016e-01
hat;0.15;9,50425483984716e-01
hat;0.15;1,79078325081865e-01
hat;0.15;6,00346297399142e-01
hat;0.15;7,14789119124677e-01
hat;0.15;6,40074993623442e-01
hat;0.15;9,95752601974207e-01
hat;0.15;9,94470022154381e-01
hat;0.15;4,04534156663630e-01
hat;0.15;1,29461077299551e-01
hat;0.15;1,00714559338100e+00
hat;0.15;5,77543206104238e-01
hat;0.15;7,55399245600055e-01
hat;0.15;5,73884688146935e-01
hat;0.15;3,77568269823594e-01
hat;0.15;6,62090981609488e-01
hat;0.15;6,94375541319461e-01
hat;0.15;4,95068206910482e-01
hat;0.15;5,68645373524367e-01
hat;0.15;8,99541160816265e-02
hat;0.15;6,27186443374816e-01
hat;0.15;7,16422391755030e-01
hat;0.15;9,08454481996807e-01
hat;0.15;3,28444107343992e-01
hat;0.15;4,76829111526000e-01
hat;0.15;6,71155815537964e-01
hat;0.15;6,24156960484552e-01
hat;0.15;8,61641686260483e-01
hat;0.15;3,18049732028090e-01
hat;0.15;9,12006617406604e-01
hat;0.15;4,82064390268625e-01
hat;0.15;8,81199399710039e-01
hat;0.15;3,53288018179122e-01
hat;0.15;4,29075359762278e-01
hat;0.15;7,82422783670716e-01
hat;0.15;8,11380841243502e-01
hat;0.15;2,55809659420315e-01
hat;0.15;5,65340854162763e-01
hat;0.15;4,31832350500571e-01
hat;0.15;1,86024354474134e-01
hat;0.15;1,45878707652985e-01
hat;0.15;8,69650462775128e-01
hat;0.15;-7,93050680079806e-02
hat;0.15;3,73162819021544e-01
hat;0.15;5,80338797031007e-01
hat;0.2;4,59357893229403e-01
hat;0.2;6,24342206100236e-01
hat;0.2;3,31400206513505e-01
hat;0.2;3,79167914539976e-01
hat;0.2;3,33759541004595e-01
hat;0.2;5,29917591118325e-01
hat;0.2;1,12074844361345e-01
hat;0.2;8,02779881264316e-01
hat;0.2;5,70330319355099e-01
hat;0.2;4,41047474459270e-01
hat;0.2;7,99576895862464e-01
hat;0.2;1,97739113422320e-01
hat;0.2;2,28228026610562e-01
hat;0.2;7,92609609575664e-01
hat;0.2;6,74519681557094e-01
hat;0.2;6,36058151237432e-01
hat;0.2;6,11429876946562e-01
hat;0.2;4,48135282644680e-01
hat;0.2;5,32706760461526e-01
hat;0.2;7,27890807116747e-01
hat;0.2;6,93189736117002e-01
hat;0.2;3,77525358408882e-02
hat;0.2;7,39846021564280e-01
hat;0.2;7,34271047613930e-01
hat;0.2;4,72271336827077e-01
hat;0.2;7,89391238792328e-01
hat;0.2;3,05971279006305e-01
hat;0.2;7,84046123036237e-01
hat;0.2;2,71520094010044e-01
hat;0.2;5,30158555373035e-01
hat;0.2;2,93073446492006e-01
hat;0.2;2,36198110806559e-01
hat;0.2;6,72396063117611e-01
hat;0.2;7,93720245441901e-01
hat;0.2;7,04061918013840e-04
hat;0.2;4,24498297250230e-01
hat;0.2;4,85314506678344e-01
hat;0.2;1,65676931574469e-01
hat;0.2;6,86918684642430e-01
hat;0.2;8,97376898072739e-01
hat;0.2;3,49952675538218e-01
hat;0.2;8,77361069213704e-01
hat;0.2;7,94114136398704e-01
hat;0.2;5,47834521514736e-01
hat;0.2;9,29445062454737e-01
hat;0.2;1,79409388358820e-01
hat;0.2;3,35195884774610e-01
hat;0.2;6,44213957317121e-01
hat;0.2;5,23003847735250e-01
hat;0.2;1,32180250292832e-01
hat;0.2;5,31238680287234e-01
hat;0.2;3,49773283274457e-01
hat;0.2;6,60882598417687e-01
hat;0.2;2,26545325709224e-01
hat;0.2;7,51339466051221e-01
hat;0.2;4,51728331028353e-01
hat;0.2;8,54506688813282e-01
hat;0.2;4,62702614659358e-01
hat;0.2;3,19379245116087e-01
hat;0.2;4,42565186003503e-01
hat;0.2;5,16134129945584e-01
hat;0.2;7,62921478890047e-02
hat;0.2;2,82287667343286e-01
hat;0.2;4,76547169106430e-01
hat;0.2;6,97830303341833e-01
hat;0.2;7,43441603308873e-01
hat;0.2;3,23426286500421e-01
hat;0.2;4,82231389129440e-01
hat;0.2;1,16760038571191e-01
hat;0.2;4,18200403751996e-01
hat;0.2;4,53241421712051e-01
hat;0.2;5,52689599380142e-01
hat;0.2;1,14879276331288e-01
hat;0.2;5,20166494932434e-01
hat;0.2;1,70449601921594e-01
hat;0.2;4,53241912500234e-01
hat;0.2;8,20655246335804e-01
hat;0.2;5,17524011480256e-01
hat;0.2;4,11502726068426e-01
hat;0.2;4,90115420493627e-01
hat;0.2;4,77993896657720e-01
hat;0.2;8,79144141903811e-01
hat;0.2;5,33659870655733e-01
hat;0.2;4,11058372594775e-02
hat;0.2;3,89403045333169e-01
hat;0.2;2,55170573218787e-01
hat;0.2;3,48733447214367e-01
hat;0.2;4,70026367851105e-01
hat;0.2;3,05765765583288e-01
hat;0.2;5,60810500629254e-01
hat;0.2;6,22542473637406e-02
hat;0.2;6,61390920205466e-02
hat;0.2;6,69926712974139e-01
hat;0.2;4,68383897466127e-01
hat;0.2;4,03340988391696e-01
hat;0.2;8,39745136780593e-01
hat;0.2;4,66590856012057e-01
hat;0.2;4,93945692378980e-01
hat;0.2;3,73653790823381e-01
hat;0.2;3,54227367600236e-01
hat;0.2;7,35343320714573e-01
hat;0.2;6,33964014989222e-01
hat;0.2;5,12471533238264e-01
hat;0.2;6,41731959668825e-01
hat;0.2;6,46847977870424e-01
hat;0.2;3,92627617510740e-01
hat;0.2;6,37398612655558e-01
hat;0.2;4,04935016952418e-01
hat;0.2;1,46151733863247e-01
hat;0.2;1,26102733689917e-01
hat;0.2;6,21452420092335e-01
hat;0.2;2,70681712876659e-01
hat;0.2;6,98265460365890e-01
hat;0.2;3,81965938207225e-01
hat;0.2;3,62751781382041e-01
hat;0.2;4,42443281041420e-01
hat;0.2;8,03714083883559e-01
hat;0.2;7,05827347001201e-01
hat;0.2;2,02189518181962e-01
hat;0.2;6,90141717521155e-01
hat;0.2;1,51418542061642e-01
hat;0.2;4,13047592354614e-02
hat;0.2;5,80580130739831e-01
hat;0.2;1,37867275093878e-01
hat;0.2;3,85207053353766e-01
hat;0.2;1,38749751719761e-01
hat;0.2;6,53604451415155e-01
hat;0.2;7,35244378931936e-01
hat;0.2;7,65540202032331e-01
hat;0.2;3,73327560252707e-01
hat;0.2;3,11838546603564e-01
hat;0.2;5,71600026007412e-01
hat;0.2;5,31222947989123e-01
hat;0.2;3,47044445548636e-01
hat;0.2;7,59567658696061e-01
hat;0.2;2,66229414988836e-01
hat;0.2;7,30772519562666e-01
hat;0.2;5,64955536844176e-01
hat;0.2;4,26947628376448e-01
hat;0.2;7,05098428431968e-01
hat;0.2;6,70840068693754e-01
hat;0.2;7,03827772809318e-01
hat;0.2;6,38551570011741e-01
hat;0.2;4,82167278208914e-01
hat;0.2;1,86385413787787e-01
hat;0.2;6,05736876216362e-01
hat;0.2;4,56459471416887e-01
hat;0.2;4,28054220666786e-01
hat;0.2;3,32602381095568e-02
hat;0.2;3,09404429127235e-01
hat;0.2;2,42141153510557e-01
hat;0.2;6,13251324798477e-01
hat;0.2;6,00822053043994e-01
hat;0.2;6,11518204428898e-01
hat;0.2;5,76158921464504e-01
hat;0.2;5,38243421420845e-01
hat;0.2;4,28289063682777e-01
hat;0.2;4,92782975663410e-01
hat;0.2;7,53922751394333e-01
hat;0.2;8,00289280569251e-01
hat;0.2;1,06079529034930e-01
hat;0.2;1,79556921765933e-01
hat;0.2;6,03502889712880e-01
hat;0.2;3,71493105247337e-01
hat;0.2;1,76826062119498e-01
hat;0.2;3,69276822314754e-01
hat;0.2;3,16170846072841e-01
hat;0.2;7,33820969222591e-01
hat;0.2;5,18988255549386e-01
hat;0.2;3,84560384454762e-01
hat;0.2;7,23666988211560e-01
hat;0.2;6,94378963206014e-01
hat;0.2;2,49582655240647e-01
hat;0.2;9,99025850876927e-02
hat;0.2;8,11715592002199e-01
hat;0.2;5,51863547545130e-02
hat;0.2;5,39722722232259e-01
hat;0.2;5,17204605154199e-01
hat;0.2;7,03712238628465e-01
hat;0.2;8,05590521687903e-01
hat;0.2;2,87795022260531e-01
hat;0.2;6,28025438939007e-01
hat;0.2;6,17749608206454e-01
hat;0.2;4,61548067653989e-01
hat;0.2;4,03399058420534e-01
hat;0.2;3,33299282681117e-01
hat;0.2;6,24275163221389e-01
hat;0.2;3,50410004774989e-01
hat;0.2;4,30240465237551e-01
hat;0.2;5,03652729507481e-01
hat;0.2;6,02319276086832e-01
hat;0.2;2,86948778435047e-01
hat;0.2;6,99977236132421e-01
hat;0.2;4,08933289509365e-01
hat;0.2;5,21096523094586e-01
hat;0.2;1,25875557187033e-01
hat;0.2;7,94497042239198e-01
hat;0.2;6,82364532206534e-01
hat;0.2;1,73444373929047e-01
hat;0.2;3,80626304612718e-01
hat;0.2;9,77330386857731e-02
hat;0.2;4,29985410033396e-01
hat;0.2;5,62349475529953e-01
hat;0.2;4,17267169798281e-01
hat;0.2;5,96537016849835e-01
hat;0.2;9,22306292375201e-01
hat;0.2;3,47180936593107e-01
hat;0.2;4,24354958919451e-01
hat;0.2;5,75199443244026e-01
hat;0.2;5,26518659498450e-01
hat;0.2;2,40452260896594e-01
hat;0.2;6,33358310219402e-01
hat;0.2;2,82094849097788e-01
hat;0.2;1,56641238996178e-01
hat;0.2;5,15129726095245e-01
hat;0.2;3,74954887568057e-01
hat;0.2;4,10471055876698e-01
hat;0.2;5,18942978792872e-01
hat;0.2;4,26989664434012e-01
hat;0.2;9,12931321020461e-01
hat;0.2;2,08962474377391e-01
hat;0.2;3,71257211847676e-01
hat;0.2;1,91828736449950e-01
hat;0.2;7,03105282572594e-01
hat;0.2;1,83439627973617e-01
hat;0.2;8,27942759514211e-01
hat;0.2;6,28978977910135e-01
hat;0.2;6,30641650822325e-01
hat;0.2;4,67553419721434e-02
hat;0.2;4,19540861196756e-01
hat;0.2;4,25565123224821e-01
hat;0.2;6,78389349128743e-01
hat;0.2;6,01666345617223e-01
hat;0.2;4,07083656446633e-01
hat;0.2;6,72127529159806e-01
hat;0.2;6,93570511193735e-01
hat;0.2;1,12717452220224e-01
hat;0.2;9,73477160312329e-01
hat;0.2;4,43819447435439e-01
hat;0.2;5,49728819686937e-01
hat;0.2;4,34272700881426e-01
hat;0.2;3,17258441500886e-01
hat;0.2;8,20943442961171e-01
hat;0.2;5,55034828902087e-01
hat;0.2;4,81607986582685e-01
hat;0.2;8,90482003428266e-01
hat;0.2;5,93070614941249e-01
hat;0.2;6,26457323443449e-01
hat;0.2;7,03136053713082e-01
hat;0.2;3,06625318516069e-01
hat;0.2;8,20994082430189e-02
hat;0.2;4,03977971753680e-01
hat;0.2;5,87312048926839e-01
hat;0.2;3,84710825830611e-01
hat;0.2;4,31747140654890e-01
hat;0.2;5,30371237589058e-01
hat;0.2;3,74794752659695e-01
hat;0.2;2,60095357056799e-01
hat;0.2;5,47612892410805e-01
hat;0.2;6,62715965803774e-01
hat;0.2;4,95215196076416e-01
hat;0.2;4,45554040084841e-01
hat;0.2;5,25640747586576e-01
hat;0.2;2,52673319073222e-01
hat;0.2;7,95147707254908e-01
hat;0.2;3,79220138648760e-01
hat;0.2;7,94093932579802e-01
hat;0.2;3,46711732595802e-01
hat;0.2;6,05118663508580e-01
hat;0.2;2,21508527531943e-01
hat;0.2;6,69622659251535e-01
hat;0.2;1,47584280706196e-01
hat;0.2;4,61051712634364e-01
hat;0.2;2,39413176160627e-01
hat;0.2;4,82427560828052e-01
hat;0.2;4,45120827267063e-01
hat;0.2;5,30657640113807e-01
hat;0.2;3,00179752783938e-01
hat;0.2;3,30844210904914e-01
hat;0.2;6,57376474917678e-01
hat;0.2;4,14974627512590e-01
hat;0.2;5,22669126000184e-01
hat;0.2;7,04309973374384e-01
hat;0.2;1,97331372595456e-01
hat;0.2;3,66901164800272e-01
hat;0.2;9,04015247358078e-02
hat;0.2;3,51003659946143e-01
hat;0.2;5,23695708755745e-01
hat;0.2;4,26886320922531e-01
hat;0.2;1,04868981301917e-01
hat;0.2;4,87880373537118e-01
hat;0.2;4,81120856870448e-01
hat;0.2;6,84965008583118e-01
hat;0.2;8,30261691772432e-01
hat;0.2;1,17695225784967e-01
hat;0.2;2,94016145976162e-01
hat;0.2;7,33522454371810e-01
hat;0.2;3,94584425935099e-01
hat;0.2;4,98964220046715e-01
hat;0.2;4,88741296292859e-01
hat;0.2;6,50000135506898e-01
hat;0.2;5,78281411914158e-01
hat;0.2;5,78643145292653e-01
hat;0.2;2,24187316437733e-01
hat;0.2;4,17934344049939e-01
hat;0.2;6,86248091532288e-01
hat;0.2;1,55519697910649e-01
hat;0.2;8,22370213590114e-01
hat;0.2;7,98192005264367e-01
hat;0.2;4,64997056947800e-01
hat;0.2;4,83265487284759e-01
hat;0.2;7,01633996774824e-01
hat;0.2;3,06404502799124e-01
hat;0.2;3,09141006965710e-01
hat;0.2;6,84036222997469e-01
hat;0.2;5,58351184214595e-01
hat;0.2;7,90181596470338e-01
hat;0.2;5,82086946988241e-01
hat;0.2;4,00881519295380e-01
hat;0.2;3,92421745618013e-01
hat;0.2;2,57736892725768e-01
hat;0.2;8,76477544804703e-01
hat;0.2;5,56490551991332e-01
hat;0.2;5,18088971518196e-01
hat;0.2;5,50320623889326e-01
hat;0.2;2,03079323680767e-01
hat;0.2;7,40632187224933e-01
hat;0.2;7,51486600387193e-01
hat;0.2;4,85072752838492e-01
hat;0.2;9,89307903184322e-01
hat;0.2;3,26573591561937e-01
hat;0.2;4,19035941924313e-01
hat;0.2;4,43872137572788e-01
hat;0.2;4,41592212304144e-01
hat;0.2;5,79665992252746e-01
hat;0.2;4,04060484539055e-01
hat;0.2;6,71350543785888e-01
hat;0.2;7,18303048026607e-01
hat;0.2;4,58387397530071e-01
hat;0.2;8,38542376266339e-01
hat;0.2;4,49855048564494e-01
hat;0.2;6,34886968437130e-01
hat;0.2;3,25135610234336e-01
hat;0.2;4,08000941243201e-01
hat;0.2;3,37225014854041e-01
hat;0.2;3,61717775940832e-01
hat;0.2;7,00398723801609e-01
hat;0.2;-1,61467201816582e-01
hat;0.2;2,22753359241732e-01
hat;0.2;4,44128067031440e-01
hat;0.2;6,35915718119896e-01
hat;0.2;4,74686761599773e-01
hat;0.2;6,46514598757094e-01
hat;0.2;6,40697782884859e-01
hat;0.2;5,75202145721718e-01
hat;0.2;1,10822819489405e-01
hat;0.2;5,14343284567847e-01
hat;0.2;4,02901734436515e-01
hat;0.2;1,65706846121916e-01
hat;0.2;4,70424449497270e-01
hat;0.2;8,93312228689002e-01
hat;0.2;5,17050938484310e-01
hat;0.2;4,47706435362022e-01
hat;0.2;9,12012363794455e-01
hat;0.2;4,14618789074302e-01
hat;0.2;3,03560619182553e-01
hat;0.2;6,05718686119181e-01
hat;0.2;4,23987603390964e-01
hat;0.2;1,17651694463883e-01
hat;0.2;5,85532916834168e-01
hat;0.2;8,78070118330434e-01
hat;0.2;4,48883445355075e-01
hat;0.2;6,20217804851050e-01
hat;0.2;8,16041562471892e-01
hat;0.2;1,97437375228306e-01
hat;0.2;4,07172579297978e-01
hat;0.2;3,82561051352572e-01
hat;0.2;3,59106631513994e-01
hat;0.2;1,94403416578282e-01
hat;0.2;2,64428269793424e-01
hat;0.2;5,79020979148327e-01
hat;0.2;4,68857147174154e-01
hat;0.2;5,29312373023915e-01
hat;0.2;5,38665241300020e-01
hat;0.2;6,15870502391628e-01
hat;0.2;1,60804004917542e-01
hat;0.2;6,16943118013050e-01
hat;0.2;3,04558057919727e-01
hat;0.2;1,07887795028232e-01
hat;0.2;6,33102508424033e-01
hat;0.2;8,50399998578465e-01
hat;0.2;3,32466361787842e-01
hat;0.2;5,15370364550789e-01
hat;0.2;3,92257565625835e-01
hat;0.2;5,88410225256559e-01
hat;0.2;6,86391262425958e-01
hat;0.2;2,77248843821472e-01
hat;0.2;3,43344852034019e-01
hat;0.2;6,69180199108840e-01
hat;0.2;6,66524059724563e-01
hat;0.2;6,42637530600500e-01
hat;0.2;6,61996911492429e-01
hat;0.2;4,16664230856705e-01
hat;0.2;5,50377542739851e-01
hat;0.2;3,42839237051966e-01
hat;0.2;2,09758717056429e-01
hat;0.2;1,03767296963293e+00
hat;0.2;1,85496635150745e-01
hat;0.2;6,40273233238881e-01
hat;0.2;2,71023292892033e-01
hat;0.2;7,84483468840222e-01
hat;0.2;5,21816270978626e-01
hat;0.2;7,96702930907567e-01
hat;0.2;3,95487467167130e-01
hat;0.2;5,62157272435363e-01
hat;0.2;2,62038774064476e-01
hat;0.2;6,19280436604318e-01
hat;0.2;7,20142012660988e-01
hat;0.2;2,31181758958247e-01
hat;0.2;2,34718626489198e-01
hat;0.2;1,35675621927970e-01
hat;0.2;5,35885774075108e-01
hat;0.2;4,01569433169497e-01
hat;0.2;5,94782899258800e-01
hat;0.2;1,47266837864850e-03
hat;0.2;6,68561025047917e-01
hat;0.2;3,49249829374644e-01
hat;0.2;6,74494534326897e-01
hat;0.2;2,98506433810290e-01
hat;0.2;1,87004561698929e-01
hat;0.2;1,76433794362141e-01
hat;0.2;3,09325935997265e-01
hat;0.2;5,30412954521618e-01
hat;0.2;1,65253972333737e-01
hat;0.2;7,75211450243554e-01
hat;0.2;1,64480379206885e-01
hat;0.2;3,99604114465974e-01
hat;0.2;1,18336663086938e-01
hat;0.2;6,64226718615689e-01
hat;0.2;4,19742737755514e-01
hat;0.2;1,94963173392800e-01
hat;0.2;2,82496582356083e-01
hat;0.2;2,49929891868303e-01
hat;0.2;5,74616695699637e-01
hat;0.2;4,04893429731579e-02
hat;0.2;5,51613067968548e-01
hat;0.2;2,90732324783910e-01
hat;0.2;5,81454887527139e-01
hat;0.2;7,60638576425911e-01
hat;0.2;4,75412383824062e-01
hat;0.2;1,77685565484455e-01
hat;0.2;2,96321927580151e-01
hat;0.2;2,10381799714196e-01
hat;0.2;5,54776676019432e-01
hat;0.2;5,66170418056116e-01
hat;0.2;6,28009376996028e-01
hat;0.2;5,11847794643924e-01
hat;0.2;5,19291321119084e-01
hat;0.2;7,39840597293224e-01
hat;0.2;5,10664427314037e-01
hat;0.2;8,02082407011747e-02
hat;0.2;4,69542515955721e-01
hat;0.2;4,34463900800981e-01
hat;0.2;4,01515965527647e-01
hat;0.2;5,21145063140803e-01
hat;0.2;5,81483022356520e-01
hat;0.2;1,56851362617552e-01
hat;0.2;8,12636688152812e-01
hat;0.2;3,35194338945518e-01
hat;0.2;7,85032200329069e-01
hat;0.2;4,35168273638755e-01
hat;0.2;5,15059923386120e-01
hat;0.2;5,20528456710088e-01
hat;0.2;4,95160813425955e-01
hat;0.2;2,98445872271202e-01
hat;0.2;1,33744495792774e-02
hat;0.2;6,60842801760744e-01
hat;0.2;1,52981321037510e-01
hat;0.2;4,23099528473658e-01
hat;0.2;5,90643146922464e-01
hat;0.2;2,35062269318536e-01
hat;0.2;4,86222544347103e-01
hat;0.2;2,09859237832817e-01
hat;0.2;5,61071448983713e-01
hat;0.2;6,99765274035041e-01
hat;0.2;5,73889130987473e-01
hat;0.2;8,42812190469913e-01
hat;0.2;4,28531575462939e-01
hat;0.2;7,03430860885079e-01
hat;0.2;6,80902224057006e-01
hat;0.2;7,20788581296677e-01
hat;0.2;8,08738333296814e-01
hat;0.2;3,50180178362485e-01
hat;0.2;4,63733469017381e-01
hat;0.2;6,60959653139302e-01
hat;0.2;7,16315290228115e-01
hat;0.2;4,67337690434197e-01
hat;0.2;5,01257705518487e-01
hat;0.2;4,58752373569256e-01
hat;0.2;6,02806645026444e-01
hat;0.2;5,26276861411014e-01
hat;0.2;3,61380790620255e-01
