Modified covariate;new
0,821788215743884;0,775031934238538
0,845115762878988;0,819994832386529
NA;0,781393567166399
0,738057308042362;0,772156202592695
0,844078625682228;0,806744771143230
0,743019376403377;0,818307858470291
0,799231318590432;0,623077344955298
0,580085764457519;0,469989692115805
NA;0,260273363597921
0,864276143326541;0,845004440817333
NA;0,735322973233905
NA;0,724041385030155
NA;0,793442057366162
0,595387551289792;0,880482971412384
0,847458783480500;0,834729211599016
0,888157341634802;0,842401668616725
0,488697092387310;0,253475508737850
0,871521111878316;0,855230401174928
0,867288702917326;0,866201941859345
0,593909767868873;0,658865871592114
0,794728839967407;0,744489207957917
NA;0,383513613644948
0,822016353093415;0,674240698250489
0,612039318159769;0,698313697092973
0,920995044480474;0,594614799599599
0,763903106541638;0,745544836530307
NA;0,818093443785005
0,792635810164270;0,828980096537317
0,603246752647410;0,763089714111987
0,666186869358229;0,784655556152900
0,555385304841276;0,430104570138997
NA;0,741462824516621
NA;0,861600044177146
0,872554428071642;0,866585511627240
NA;0,876440817303634
NA;0,730306678432981
0,435172977520816;0,532422827923630
0,761439484462451;0,755995243902510
0,889619373293014;0,783980182428321
NA;0,746246553559725
0,567650594535636;0,414331922947464
0,878179366791884;0,899890233587082
0,868689415097980;0,788946348396241
NA;0,785783449669630
0,699358519979495;0,604703718340928
0,874071852701543;0,857621699824427
0,862111931171800;0,731821057041353
0,874846516930319;0,748141270845780
0,846263035670842;0,757700752455268
0,237189683222268;0,615421254391241
